rank,user,Q2,Q3,Q4
6588,anwheecodes18,2072447176,,
6612,ombhadoriya91_,,2072468268,
6614,akhilch1148,,2072458221,
6679,panacotta,,2072448962,
6693,CipherBug,,2072479923,
6711,akshitbhandula,2072399286,2072449811,
6714,manas_iiitl,2072489604,,
6736,Aryanv1118,2072439039,,
6770,darshan07018,,2072471537,
6778,bishal1877,2072428144,,
6782,nidumukkalaravishankar,,2072461735,
6809,nupur1020m,2072403757,,
6822,user4820c,,2072452056,
6846,pragatisaste,2072414177,,
6914,tickester__001,2072483994,2072436573,
6953,iamsanjaynarayanan,2072453675,,
6958,ansh_998,2072425157,,
6961,RushilN,,2072475531,
6975,DhruvHooda,,2072444933,
7003,Prakhar09052006,2072439789,2072494952,
7017,igoutamv,,2072476740,
7049,avg_coder78,,2072422818,
7058,themradul07,,2072467577,
7064,PBBANSAL,2072476753,,
7066,Sambhavipandey,,2072477565,
7131,blueRaspberry,,2072458774,
7163,ashishh_3z,2072379438,2072479268,
7164,manjeet1318,2072450037,2072469508,
7190,Manthangoel01,2072400541,,
7201,ayansanger939,2072384728,,
7220,vineet0194,2072457867,,
7243,ragnar_1003,,2072461260,
7277,Shashank38372,,2072440645,
7294,iitian_coder_327,2072424884,2072472723,
7324,mansikhamar,,2072453076,
7354,jiaa_,,2072453779,
7362,renuka_tamboli,2072440102,2072474335,
7363,Kalidas_Marndi,2072426013,,
7369,rohit_3006,2072419439,2072454137,
7394,vamsi_1409,,2072484670,
7458,AvinashAReddy,,2072456688,
7464,_aishanvi_,,2072503871,
7471,mohamedfaisal-ai,,2072457027,
7490,AravAlgo06,2072487062,,
7494,yashchovatiya,2072435792,2072477700,
7496,AyushJ03,,2072487163,
7536,sahaskumar,,2072478588,
7575,Mudit_Garg_,,2072469748,
7592,Peeyush1559,2072414289,2072489112,
7594,Khushi447,,2072489210,
7602,Mech_12,,2072480050,
7647,adi03__,2072421762,,
7654,Om-5640,,2072490496,
7701,Sakshiv31,2072426741,,
7711,BhopalSingh2008,,2072509044,
7717,MS10_,,2072500655,
7728,jainsuhani12,,2072483126,
7733,Bald_Coder25,,2072483191,
7744,abcdefghijklmnitya,,2072492553,
7760,SriHarsha2008,2072460939,,
7761,vrajp28,,2072492889,
7776,AS_1001,,2072474611,
7778,harshaw12,2072510322,2072502575,
7783,AkhilAlgo,,2072510598,
7799,MiBoi,,2072493962,
7814,billu_bhai,,2072485469,
7842,le_immortal,,2072503499,
7868,S4M1R5v67R,,2072477363,
7918,CodingSucks__,,2072447754,
7924,SYAMALA_NANDINI,,2072469176,
7925,meghana_5,,2072505331,
7962,bhaktic1,,2072506106,
7995,hedgehoggg,,2072506880,
8006,RaghulResi27,,2072480539,
8008,pv2448,2072489872,,
8010,Harsh_Gautam_1902,,2072507184,
8027,Saksham_stellar,,2072507502,
8071,Uday_Patidar_244,2072503377,2072508574,
8096,Adityaridler15,2072453637,,
8118,Naresh_Perumalla_777,,2072518235,
8121,rishu_singh_,,2072501377,
8141,mousamee_solanki6,,2072518587,
8177,R_Jazib_Ahmad,2072468670,2072484711,
8185,Chirag0717,2072480932,,
8197,Shivendra_25,,2072502895,
8206,naaaaaaarrrr112,,2072476174,
8215,Sujal_2005_,,2072503325,
8224,Ruthvi,2072454452,2072495193,
8243,Kratikajaiswal_25,2072484486,2072504177,
8262,daksh_the_hacker,,2072496307,
8266,risshi-codes,,2072468234,
8277,f3i3jI5zgc,,2072458512,
8310,ms7492,,2072522975,
8321,kohazendeveloper,,2072514796,
8330,Blahh245,2072460182,,
8339,hetshah005,,2072498306,
8370,baldaudhanoriya,,2072498999,
8403,AkashKr74,,2072516753,
8422,osCWjZlonW,2072421929,2072491531,
8437,amanagarwal2246,,2072482837,
8448,sumit_1540,,2072492160,
8497,eshanidixit4,,2072510429,
8519,surajkalla809,,2072494226,
8524,amrittiwari,,2072519782,
8596,rudraksh974,2072476481,,
8618,gokulcse2007,2072506041,,
8630,Anamika_0507,,2072514853,
8656,RizwanSaifi571,,2072507474,
8664,Tejpavan_555,2072434926,,
8707,a0958962628,,2072509223,
8725,ujjawal1314,,2072501357,
8740,LiveStreamDaddu,2072407984,2072454801,
8771,mayanktewatia,,2072520203,
8782,user5786RK,,2072495473,
8785,Prabhanjann,2072372648,,
8801,_Vamsi_Krishna,2072429157,,
8804,devanshimohan,,2072521730,
8829,dineshrana93,,2072522619,
8836,viveksarmar,,2072523106,
8844,gupta17aksh,,2072514687,
8846,gaurav-mg,2072376889,,
8881,sharma_ji_yash,2072396470,,
8891,Crusader_X,,2072508505,
8903,nishant_0045,,2072509000,
8953,gaganpratap8,2072407182,2072401998,
8961,k__kushagra,,2072494532,
9004,Suryan_sh07,2072520515,,
9052,my_ninjaway,,2072500475,
9101,BqizVLFWx6,,2072521330,
9109,Q6d75rB7J8,2072478549,,
9116,chirabrata07,2072484435,2072513999,
9156,Tanishkkkaaaa,2072422674,2072509086,
9163,gtDaBKBlbg,,2072509913,
9171,komalwaghule,,2072484521,
9178,aryanchoudhary23113,,2072494806,
9185,SushmiV,,2072520765,
9195,Rkings800,2072376159,2072521254,
9226,saharan24,2072403857,,
9250,divysingh,,2072520576,
9251,Ratnesh_Shrivastava,,2072503833,
9276,noob234,,2072518093,
9278,Stack_Over_Clown,,2072509895,
9283,OrderOfRootN,,2072502562,
9293,Chompsky,,2072521767,
9316,VaidikBajpai,2072462158,,
9319,masaldosa,,2072472552,
9329,_indhu_,,2072518148,
9339,sameer_sk_2304,,2072509340,
9345,bhavygarg6969,,2072468637,
9379,Piyush_Saxena,2072448371,2072431528,
9386,YTXC4LyMGF,,,2072490821
9430,dc1505,,2072361516,
9453,Krrish_02_,,2072379944,
9460,pulishettisiddharth,,2072361277,
9464,sparshagarwal0411,,2072389519,
9465,Luv_Nichat,,2072389936,
9467,Kishankoundinya,,2072390812,
9484,Khushi_Bhakuni,,2072399720,
9570,rehanshrfff,,2072432751,
9590,Drishti2005,,2072442478,
9612,Arun061,,2072452134,
9638,Aditya_Chaurasia_1441,,2072448708,
9642,iishan9824,,2072449464,
9646,qhwmehrmthym,,2072461187,
9652,NAMAN_JADIYA,,2072464074,
9653,Poka_Sireesha1430,,2072465368,
9665,Arsh_kazi,,2072436399,
9667,Harsh00137,,2072470042,
9686,balajicit,,2072474608,
9776,yakshitha_v,,2072510524,
9839,fVzWryyVxA,,2072514003,
9862,Sarvesheg,2072317394,,
9864,linitta,2072320084,,
