rank,user,Q2,Q3,Q4
6256,adi141104,,2090208702,
6296,etaCydOiEO,,2090209755,
6310,neerajtf_,,2090210088,
6332,Tirth1902,,2090210742,
6367,supreme_toji,,2090212123,
6379,Dharya_Kumar,,2090212386,
6388,Poojitha-1266,,2090212590,
6397,manya__1323,,2090212813,
6413,Utkarsh_20_2005,,2090213265,
6458,enderwither1234,,2090214608,
6465,WayneGB_13,,2090214686,
6475,Nishi_0204,,2090215003,
6527,Visheshhhhhh,,2090216265,
6529,nishant_0045,,2090205529,
6546,Hothrish,,2090216656,
6549,Adityaagarwal123,,2090205951,
6563,sriniketh92,,2090217121,
6579,_kashish08_,,2090217730,
6605,369_Saurabh,,2090218453,
6622,zmehmood2005,,2090208152,
6625,Heman22,,2090185560,
6662,Siva_Balaji-B-K,,2090220061,
6727,alokrray,,2090221895,
6739,augustomaximus,,2090222321,
6748,heni__s18,,2090222552,
6750,XdCjp26SjQ,,2090222594,
6778,lavishmalhotra,,2090213118,
6784,CodeReaper04,,2090223586,
6793,Rose_22,,2090213535,
6848,charanxn,,2090225578,
6864,2023b1541072,,2090226074,
6892,Stack_Over_Clown,,2090226837,
6930,adarshpandey23045003,,2090217833,
6963,anujroy,,2090228910,
7004,VaghelaOm,,2090209098,
7008,k_devarsh,,2090229832,
7020,kjayesh0210,,2090230081,
7038,praneethem8,,2090230488,
7040,rishu_singh_,,2090230521,
7058,kinshuk_tdm,,2090231203,
7059,h5CEgbZSNt,,2090231225,
7091,ShivamSanap,,2090222024,
7107,nehal26,,2090212072,
7115,Abhay1014,,2090212231,
7119,priyanshu897,,2090232785,
7122,EezXa6yreW,,2090222965,
7154,abhinav_coderji,,2090233814,
7200,Vanshi0711,,2090235052,
7260,Lokesh_goyal08,,2090237165,
7262,bhaktic1,,2090237217,
7287,shreesha_u,,2090238012,
7308,Prajwal_Yadav,,2090238578,
7312,KTF87SiOob,,2090232963,
7350,Girdharmanas25,,2090240143,
7375,JerusalaM,,2090240702,
7390,Nischay_Bagari,,2090241075,
7413,Rajeshwari2006,,2090241530,
7448,Omjivaishy,,2090242535,
7497,ShivanshKasaudhan,,2090213685,
7508,lakshayahuja31,,2090244355,
7536,KindObject,,2090235108,
7543,mohitnippanikar,,2090245288,
7564,coder__raj,,2090245930,
7569,HarshRadiant,,2090246034,
7585,Mradul_Bhartiya,,2090246530,
7596,shristi2006,,2090246879,
7613,vedasidhi,,2090237292,
7622,secretsanta2003,,2090227524,
7632,rajricky4477,,2090237968,
7636,Tsu_Giriiii,,2090237998,
7658,Devang_-543,,2090238543,
7660,shres_hy,,2090228577,
7671,o00I4Rl56b,,2090248947,
